SUBTYPE	CODE	DISPLAY	COMMENT
self_harm	T40.3X2A	Poisoning by methadone, intentional self-harm, init encntr	
self_harm	T40.3X2D	Poisoning by methadone, intentional self-harm, subs encntr	
self_harm	T40.3X2S	Poisoning by methadone, intentional self-harm, sequela	
self_harm	T40.5X2	Poisoning by cocaine, intentional self-harm	
self_harm	T40.5X2A	Poisoning by cocaine, intentional self-harm, init encntr	
self_harm	T40.5X2D	Poisoning by cocaine, intentional self-harm, subs encntr	
self_harm	T40.5X2S	Poisoning by cocaine, intentional self-harm, sequela	
self_harm	T40.602	Poisoning by unspecified narcotics, intentional self-harm	
self_harm	T40.602A	Poisoning by unsp narcotics, intentional self-harm, init	
self_harm	T40.602D	Poisoning by unsp narcotics, intentional self-harm, subs	
self_harm	T40.602S	Poisoning by unsp narcotics, intentional self-harm, sequela	
self_harm	T40.692	Poisoning by other narcotics, intentional self-harm	
self_harm	T40.692A	Poisoning by oth narcotics, intentional self-harm, init	
self_harm	T40.692D	Poisoning by oth narcotics, intentional self-harm, subs	
self_harm	T40.692S	Poisoning by other narcotics, intentional self-harm, sequela	
self_harm	T40.8X2	Poisoning by lysergide [LSD], intentional self-harm	
self_harm	T40.8X2A	Poisoning by lysergide, intentional self-harm, init encntr	
self_harm	T40.8X2D	Poisoning by lysergide, intentional self-harm, subs encntr	
self_harm	T40.8X2S	Poisoning by lysergide [LSD], intentional self-harm, sequela	
self_harm	T40.902	Poisoning by unsp psychodysleptics, intentional self-harm	
self_harm	T40.902A	Poisoning by unsp psychodysleptics, self-harm, init	
self_harm	T40.902D	Poisoning by unsp psychodysleptics, self-harm, subs	
self_harm	T40.902S	Poisoning by unsp psychodysleptics, self-harm, sequela	
self_harm	T40.992	Poisoning by other psychodysleptics, intentional self-harm	
self_harm	T40.992A	Poisoning by oth psychodysleptics, self-harm, init	
self_harm	T40.992D	Poisoning by oth psychodysleptics, self-harm, subs	
self_harm	T40.992S	Poisoning by oth psychodysleptics, self-harm, sequela	
self_harm	T41.0X2	Poisoning by inhaled anesthetics, intentional self-harm	
self_harm	T41.0X2A	Poisoning by inhaled anesthetics, self-harm, init	
self_harm	T41.0X2D	Poisoning by inhaled anesthetics, self-harm, subs	
self_harm	T41.0X2S	Poisoning by inhaled anesthetics, self-harm, sequela	
self_harm	T41.1X2	Poisoning by intravenous anesthetics, intentional self-harm	
self_harm	T41.1X2A	Poisoning by intravenous anesthetics, self-harm, init	
self_harm	T41.1X2D	Poisoning by intravenous anesthetics, self-harm, subs	
self_harm	T41.1X2S	Poisoning by intravenous anesthetics, self-harm, sequela	
self_harm	T41.202	Poisoning by unsp general anesthetics, intentional self-harm	
self_harm	T41.202A	Poisoning by unsp general anesthetics, self-harm, init	
self_harm	T41.202D	Poisoning by unsp general anesthetics, self-harm, subs	
self_harm	T41.202S	Poisoning by unsp general anesthetics, self-harm, sequela	
self_harm	T41.292	Poisoning by oth general anesthetics, intentional self-harm	
